mode,frame_type,posterior_var_mode,noise_rate,beta,anchor_scale,seed,checkpoint,best_epoch,total_epochs,hit_epoch_cap,d_hat,kl_var,kl_total,consistency_check,trained_risk,trained_risk_mc,trained_objective,trained_objective_mc,delta_noise,comparator_risk,comparator_objective,L_hat_minus_L_comp,opt_fail,excess_d,beta_excess_d,noisy_label_acc,clean_class_acc,noisy_label_acc_mc,min_center_distance,mean_center_distance,mean_center_anchor_err,min_sigma_u,raw_ortho_dev,eta_dev,fail
population,fixed,paper,0,0.03,6.0,3,best,24,2024,0,0.000005,0.000002,0.000007,0.00e+00,-0.000000,0.000217,0.000000,0.000217,0.000000,0.000284,0.000284,-0.000067,0,0.000005,0.000000,1.000000,1.000000,1.000000,8.483297,8.485447,0.002861,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.03,6.0,3,final,24,2024,0,0.000016,0.000946,0.000962,0.00e+00,-0.000000,0.000397,0.000029,0.000426,0.000000,0.000284,0.000284,0.000142,0,0.000016,0.000000,1.000000,1.000000,1.000000,8.484645,8.488674,0.003918,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.01,6.0,3,best,2,2002,0,0.000109,0.000014,0.000122,0.00e+00,-0.000000,0.000307,0.000001,0.000309,0.000000,0.000284,0.000284,0.000025,0,0.000109,0.000001,1.000000,1.000000,1.000000,8.478841,8.486152,0.014285,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.01,6.0,3,final,2,2002,0,0.001602,0.002040,0.003642,0.00e+00,-0.000000,0.000138,0.000036,0.000174,0.000000,0.000284,0.000284,-0.000110,0,0.001602,0.000016,1.000000,1.000000,1.000000,8.484289,8.517368,0.032881,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.003,6.0,3,best,1,2001,0,0.000092,0.000020,0.000113,0.00e+00,-0.000000,0.000477,0.000000,0.000477,0.000000,0.000284,0.000284,0.000193,0,0.000092,0.000000,1.000000,1.000000,1.000000,8.476369,8.485089,0.013296,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.003,6.0,3,final,1,2001,0,0.008552,0.006292,0.014844,0.00e+00,-0.000000,0.000150,0.000045,0.000194,0.000000,0.000284,0.000284,-0.000090,0,0.008552,0.000026,1.000000,1.000000,1.000000,8.487760,8.569077,0.069725,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.001,6.0,3,best,34,2034,0,0.000008,0.000023,0.000031,0.00e+00,-0.000000,0.000398,0.000000,0.000398,0.000000,0.000284,0.000284,0.000114,0,0.000008,0.000000,1.000000,1.000000,1.000000,8.480808,8.486327,0.003537,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.001,6.0,3,final,34,2034,0,0.038719,0.016342,0.055061,0.00e+00,-0.000000,0.000054,0.000055,0.000109,0.000000,0.000284,0.000284,-0.000175,0,0.038719,0.000039,1.000000,1.000000,1.000000,8.497484,8.723988,0.232509,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,10,6.0,3,best,1609,3609,0,3.401855,0.000000,3.401855,0.00e+00,3.161763,3.161324,37.180310,37.179872,3.400000,3.187217,37.187217,-0.007346,0,0.001855,0.018548,0.900000,1.000000,0.900000,7.446971,7.452351,0.060795,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,10,6.0,3,final,1609,3609,0,3.401998,0.000000,3.401998,0.00e+00,3.160024,3.157855,37.180002,37.177833,3.400000,3.187217,37.187217,-0.009385,0,0.001998,0.019978,0.900000,1.000000,0.900000,7.448136,7.448247,0.063208,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,3,6.0,3,best,1,2001,0,3.402740,0.000000,3.402740,0.00e+00,3.153611,3.157599,13.361831,13.365819,3.400000,3.187217,13.387217,-0.021399,0,0.002740,0.008220,0.900000,1.000000,0.900000,7.425587,7.433139,0.073972,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,3,6.0,3,final,1,2001,0,3.422184,0.000000,3.422184,0.00e+00,3.066930,3.071746,13.333484,13.338300,3.400000,3.187217,13.387217,-0.048918,0,0.022184,0.066553,0.900000,1.000000,0.900000,7.206484,7.228834,0.210532,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,1,6.0,3,best,1,2001,0,3.403815,0.000000,3.403815,0.00e+00,3.145473,3.144195,6.549288,6.548010,3.400000,3.187217,6.587217,-0.039208,0,0.003815,0.003815,0.900000,1.000000,0.900000,7.400859,7.413965,0.087289,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,1,6.0,3,final,1,2001,0,3.582703,0.000000,3.582703,0.00e+00,2.818867,2.832207,6.401570,6.414910,3.400000,3.187217,6.587217,-0.172308,0,0.182703,0.182703,0.900000,1.000000,0.900000,6.599993,6.644357,0.603574,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.3,6.0,3,best,1,2001,0,3.405020,0.000000,3.405020,0.00e+00,3.137339,3.137579,4.158845,4.159086,3.400000,3.187217,4.207217,-0.048132,0,0.005020,0.001506,0.900000,1.000000,0.900000,7.376019,7.394807,0.100153,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.3,6.0,3,final,1,2001,0,4.498164,0.000000,4.498164,0.00e+00,2.266603,2.352607,3.616052,3.702056,3.400000,3.187217,4.207217,-0.505161,0,1.098164,0.329449,0.900000,1.000000,0.900000,5.202464,5.344719,1.480104,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.1,6.0,3,best,1,2001,0,3.406459,0.000000,3.406459,0.00e+00,3.129218,3.127729,3.469864,3.468375,3.400000,3.187217,3.527217,-0.058843,0,0.006459,0.000646,0.900000,1.000000,0.900000,7.351233,7.375684,0.113568,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.1,6.0,3,final,1,2001,0,5.312284,0.000000,5.312284,0.00e+00,1.971298,2.205277,2.502526,2.736505,3.400000,3.187217,3.527217,-0.790712,0,1.912284,0.191228,0.900000,1.000000,0.900000,4.450745,4.653159,1.953001,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.03,6.0,3,best,1,2001,0,3.408072,0.000000,3.408072,0.00e+00,3.121108,3.121637,3.223350,3.223879,3.400000,3.187217,3.289217,-0.065339,0,0.008072,0.000242,0.900000,1.000000,0.900000,7.326504,7.356598,0.127004,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.03,6.0,3,final,1,2001,0,5.557037,0.000000,5.557037,0.00e+00,1.899849,2.194005,2.066560,2.360716,3.400000,3.187217,3.289217,-0.928502,0,2.157037,0.064711,0.900000,1.000000,0.900000,4.270708,4.490785,2.075235,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.01,6.0,3,best,1,2001,0,3.409875,0.000000,3.409875,0.00e+00,3.113011,3.113882,3.147110,3.147980,3.400000,3.187217,3.221217,-0.073237,0,0.009875,0.000099,0.900000,1.000000,0.900000,7.301833,7.337547,0.140418,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.01,6.0,3,final,1,2001,0,5.777914,0.000000,5.777914,0.00e+00,1.833917,2.185952,1.891696,2.243732,3.400000,3.187217,3.221217,-0.977486,0,2.377914,0.023779,0.900000,1.000000,0.900000,4.160384,4.340003,2.179688,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.003,6.0,3,best,1,2001,0,3.411871,0.000000,3.411871,0.00e+00,3.104928,3.106739,3.115163,3.116974,3.400000,3.187217,3.197417,-0.080443,0,0.011871,0.000036,0.900000,1.000000,0.900000,7.277216,7.318531,0.153939,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.003,6.0,3,final,1,2001,0,5.662345,0.000000,5.662345,0.00e+00,1.873727,2.195168,1.890714,2.212155,3.400000,3.187217,3.197417,-0.985263,0,2.262345,0.006787,0.900000,1.000000,0.900000,4.206252,4.436487,2.125442,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.001,6.0,3,best,1,2001,0,3.414020,0.000000,3.414020,0.00e+00,3.096855,3.098901,3.100269,3.102315,3.400000,3.187217,3.190617,-0.088302,0,0.014020,0.000014,0.900000,1.000000,0.900000,7.252658,7.299552,0.167332,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.001,6.0,3,final,1,2001,0,5.729438,0.000000,5.729438,0.00e+00,1.849479,2.181823,1.855208,2.187553,3.400000,3.187217,3.190617,-1.003065,0,2.329438,0.002329,0.900000,1.000000,0.900000,4.061689,4.380352,2.157304,1.000000,0.000000,0.000000,
population,fixed,fixed,0,10,6.0,3,best,1731,3731,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000446,0.000004,0.000449,0.000000,0.000284,0.000284,0.000165,0,0.000000,0.000004,1.000000,1.000000,1.000000,8.484144,8.485105,0.000815,1.000000,0.000000,0.000000,
population,fixed,fixed,0,10,6.0,3,final,1731,3731,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000428,0.000000,0.000428,0.000000,0.000284,0.000284,0.000144,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.485280,8.485293,0.000030,1.000000,0.000000,0.000000,
population,fixed,fixed,0,3,6.0,3,best,12,2012,0,0.000010,0.000000,0.000010,0.00e+00,-0.000000,0.000255,0.000029,0.000285,0.000000,0.000284,0.000284,0.000001,0,0.000010,0.000029,1.000000,1.000000,1.000000,8.482225,8.485491,0.004237,1.000000,0.000000,0.000000,
population,fixed,fixed,0,3,6.0,3,final,12,2012,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000194,0.000000,0.000194,0.000000,0.000284,0.000284,-0.000090,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.485248,8.485307,0.000063,1.000000,0.000000,0.000000,
population,fixed,fixed,0,1,6.0,3,best,33,2033,0,0.000005,0.000000,0.000005,0.00e+00,-0.000000,0.000578,0.000005,0.000583,0.000000,0.000284,0.000284,0.000299,0,0.000005,0.000005,1.000000,1.000000,1.000000,8.479524,8.484620,0.003120,1.000000,0.000000,0.000000,
population,fixed,fixed,0,1,6.0,3,final,33,2033,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000581,0.000000,0.000581,0.000000,0.000284,0.000284,0.000297,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.484781,8.485587,0.000614,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.3,6.0,3,best,35,2035,0,0.000002,0.000000,0.000002,0.00e+00,-0.000000,0.000335,0.000001,0.000336,0.000000,0.000284,0.000284,0.000052,0,0.000002,0.000001,1.000000,1.000000,1.000000,8.483008,8.485020,0.001976,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.3,6.0,3,final,35,2035,0,0.000001,0.000000,0.000001,0.00e+00,-0.000000,0.000234,0.000000,0.000235,0.000000,0.000284,0.000284,-0.000049,0,0.000001,0.000000,1.000000,1.000000,1.000000,8.485167,8.485881,0.000765,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.1,6.0,3,best,53,2053,0,0.000001,0.000000,0.000001,0.00e+00,-0.000000,0.000206,0.000000,0.000206,0.000000,0.000284,0.000284,-0.000078,0,0.000001,0.000000,1.000000,1.000000,1.000000,8.484198,8.485401,0.001037,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.1,6.0,3,final,53,2053,0,0.000106,0.000000,0.000106,0.00e+00,-0.000000,0.000143,0.000011,0.000153,0.000000,0.000284,0.000284,-0.000131,0,0.000106,0.000011,1.000000,1.000000,1.000000,8.478074,8.490931,0.008575,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.03,6.0,3,best,60,2060,0,0.000009,0.000000,0.000009,0.00e+00,-0.000000,0.000434,0.000000,0.000434,0.000000,0.000284,0.000284,0.000150,0,0.000009,0.000000,1.000000,1.000000,1.000000,8.472829,8.483783,0.003171,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.03,6.0,3,final,60,2060,0,0.000010,0.000000,0.000010,0.00e+00,-0.000000,0.000252,0.000000,0.000252,0.000000,0.000284,0.000284,-0.000032,0,0.000010,0.000000,1.000000,1.000000,1.000000,8.484988,8.488189,0.002763,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.01,6.0,3,best,20,2020,0,0.000006,0.000000,0.000006,0.00e+00,-0.000000,0.000313,0.000000,0.000313,0.000000,0.000284,0.000284,0.000029,0,0.000006,0.000000,1.000000,1.000000,1.000000,8.480971,8.484578,0.003234,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.01,6.0,3,final,20,2020,0,0.001483,0.000000,0.001483,0.00e+00,-0.000000,0.000155,0.000015,0.000169,0.000000,0.000284,0.000284,-0.000115,0,0.001483,0.000015,1.000000,1.000000,1.000000,8.484645,8.517992,0.033996,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.003,6.0,3,best,2,2002,0,0.000050,0.000000,0.000050,0.00e+00,-0.000000,0.000476,0.000000,0.000476,0.000000,0.000284,0.000284,0.000192,0,0.000050,0.000000,1.000000,1.000000,1.000000,8.478816,8.486796,0.009876,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.003,6.0,3,final,2,2002,0,0.019802,0.000000,0.019802,0.00e+00,-0.000000,0.000222,0.000059,0.000282,0.000000,0.000284,0.000284,-0.000002,0,0.019802,0.000059,1.000000,1.000000,1.000000,8.511637,8.634275,0.123676,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.001,6.0,3,best,23,2023,0,0.000006,0.000000,0.000006,0.00e+00,-0.000000,0.000408,0.000000,0.000408,0.000000,0.000284,0.000284,0.000124,0,0.000006,0.000000,1.000000,1.000000,1.000000,8.482441,8.485534,0.003244,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.001,6.0,3,final,23,2023,0,0.043375,0.000000,0.043375,0.00e+00,-0.000000,0.000123,0.000043,0.000166,0.000000,0.000284,0.000284,-0.000118,0,0.043375,0.000043,1.000000,1.000000,1.000000,8.495862,8.772745,0.250217,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,10,6.0,0,best,1718,3718,0,3.401891,0.000000,3.401891,0.00e+00,3.161434,3.155841,37.180347,37.174753,3.400000,3.187217,37.187217,-0.012464,0,0.001891,0.018912,0.900000,1.000000,0.900000,7.447305,7.451576,0.061279,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,10,6.0,0,final,1718,3718,0,3.401997,0.000000,3.401997,0.00e+00,3.160027,3.157796,37.180000,37.177770,3.400000,3.187217,37.187217,-0.009448,0,0.001997,0.019973,0.900000,1.000000,0.900000,7.448166,7.448254,0.063204,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,3,6.0,0,best,1,2001,0,3.402803,0.000000,3.402803,0.00e+00,3.153012,3.151239,13.361423,13.359649,3.400000,3.187217,13.387217,-0.027569,0,0.002803,0.008410,0.900000,1.000000,0.900000,7.425119,7.431727,0.074761,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,3,6.0,0,final,1,2001,0,3.422598,0.000000,3.422598,0.00e+00,3.065702,3.081520,13.333496,13.349313,3.400000,3.187217,13.387217,-0.037904,0,0.022598,0.067794,0.900000,1.000000,0.900000,7.204214,7.225940,0.212543,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,1,6.0,0,best,1,2001,0,3.403895,0.000000,3.403895,0.00e+00,3.144599,3.154406,6.548495,6.558301,3.400000,3.187217,6.587217,-0.028917,0,0.003895,0.003895,0.900000,1.000000,0.900000,7.402927,7.411902,0.088089,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,1,6.0,0,final,1,2001,0,3.587091,0.000000,3.587091,0.00e+00,2.813905,2.825531,6.400996,6.412622,3.400000,3.187217,6.587217,-0.174595,0,0.187091,0.187091,0.900000,1.000000,0.900000,6.599168,6.632583,0.611126,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.3,6.0,0,best,1,2001,0,3.405197,0.000000,3.405197,0.00e+00,3.136198,3.139901,4.157757,4.161460,3.400000,3.187217,4.207217,-0.045757,0,0.005197,0.001559,0.900000,1.000000,0.900000,7.379426,7.392109,0.101807,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.3,6.0,0,final,1,2001,0,4.453191,0.000000,4.453191,0.00e+00,2.287425,2.369498,3.623382,3.705455,3.400000,3.187217,4.207217,-0.501762,0,1.053191,0.315957,0.900000,1.000000,0.900000,5.216428,5.393404,1.448171,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.1,6.0,0,best,1,2001,0,3.406659,0.000000,3.406659,0.00e+00,3.127808,3.131361,3.468474,3.472027,3.400000,3.187217,3.527217,-0.055191,0,0.006659,0.000666,0.900000,1.000000,0.900000,7.355970,7.372347,0.115197,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.1,6.0,0,final,1,2001,0,5.176297,0.000000,5.176297,0.00e+00,2.015670,2.213204,2.533300,2.730833,3.400000,3.187217,3.527217,-0.796384,0,1.776297,0.177630,0.900000,1.000000,0.900000,4.572201,4.756084,1.882103,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.03,6.0,0,best,1,2001,0,3.408311,0.000000,3.408311,0.00e+00,3.119429,3.125981,3.221678,3.228230,3.400000,3.187217,3.289217,-0.060988,0,0.008311,0.000249,0.900000,1.000000,0.900000,7.332556,7.352616,0.128819,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.03,6.0,0,final,1,2001,0,5.659511,0.000000,5.659511,0.00e+00,1.865635,2.199771,2.035420,2.369557,3.400000,3.187217,3.289217,-0.919661,0,2.259511,0.067785,0.900000,1.000000,0.900000,4.200291,4.408394,2.123772,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.01,6.0,0,best,1,2001,0,3.410058,0.000000,3.410058,0.00e+00,3.111783,3.115010,3.145884,3.149110,3.400000,3.187217,3.221217,-0.072107,0,0.010058,0.000101,0.900000,1.000000,0.900000,7.309184,7.334611,0.141532,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.01,6.0,0,final,1,2001,0,5.747815,0.000000,5.747815,0.00e+00,1.846685,2.213812,1.904164,2.271290,3.400000,3.187217,3.221217,-0.949927,0,2.347815,0.023478,0.900000,1.000000,0.900000,4.102677,4.366239,2.163289,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.003,6.0,0,best,1,2001,0,3.412041,0.000000,3.412041,0.00e+00,3.103427,3.104997,3.113663,3.115233,3.400000,3.187217,3.197417,-0.082184,0,0.012041,0.000036,0.900000,1.000000,0.900000,7.285855,7.314941,0.154913,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.003,6.0,0,final,1,2001,0,5.737950,0.000000,5.737950,0.00e+00,1.850919,2.186557,1.868133,2.203771,3.400000,3.187217,3.197417,-0.993646,0,2.337950,0.007014,0.900000,1.000000,0.900000,4.193045,4.380071,2.160824,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.001,6.0,0,best,1,2001,0,3.414233,0.000000,3.414233,0.00e+00,3.095083,3.107450,3.098497,3.110864,3.400000,3.187217,3.190617,-0.079753,0,0.014233,0.000014,0.900000,1.000000,0.900000,7.262570,7.295304,0.168533,1.000000,0.000000,0.000000,
population,fixed,fixed,0.1,0.001,6.0,0,final,1,2001,0,5.832776,0.000000,5.832776,0.00e+00,1.823234,2.201237,1.829067,2.207070,3.400000,3.187217,3.190617,-0.983548,0,2.432776,0.002433,0.900000,1.000000,0.900000,3.988441,4.311699,2.199223,1.000000,0.000000,0.000000,
population,fixed,fixed,0,10,6.0,1,best,1592,3592,0,0.000003,0.000000,0.000003,0.00e+00,-0.000000,0.000451,0.000035,0.000486,0.000000,0.000284,0.000284,0.000202,0,0.000003,0.000035,1.000000,1.000000,1.000000,8.483188,8.484686,0.002025,1.000000,0.000000,0.000000,
population,fixed,fixed,0,10,6.0,1,final,1592,3592,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000205,0.000000,0.000205,0.000000,0.000284,0.000284,-0.000079,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.485257,8.485294,0.000038,1.000000,0.000000,0.000000,
population,fixed,fixed,0,3,6.0,1,best,45,2045,0,0.000003,0.000000,0.000003,0.00e+00,-0.000000,0.000055,0.000009,0.000064,0.000000,0.000284,0.000284,-0.000220,0,0.000003,0.000009,1.000000,1.000000,1.000000,8.484298,8.485411,0.001605,1.000000,0.000000,0.000000,
population,fixed,fixed,0,3,6.0,1,final,45,2045,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000289,0.000000,0.000290,0.000000,0.000284,0.000284,0.000006,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.484870,8.485346,0.000323,1.000000,0.000000,0.000000,
population,fixed,fixed,0,1,6.0,1,best,23,2023,0,0.000006,0.000000,0.000006,0.00e+00,-0.000000,0.000088,0.000006,0.000094,0.000000,0.000284,0.000284,-0.000190,0,0.000006,0.000006,1.000000,1.000000,1.000000,8.481854,8.484821,0.003350,1.000000,0.000000,0.000000,
population,fixed,fixed,0,1,6.0,1,final,23,2023,0,0.000001,0.000000,0.000001,0.00e+00,-0.000000,0.000177,0.000001,0.000178,0.000000,0.000284,0.000284,-0.000106,0,0.000001,0.000001,1.000000,1.000000,1.000000,8.484580,8.485682,0.000919,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.3,6.0,1,best,21,2021,0,0.000005,0.000000,0.000005,0.00e+00,-0.000000,0.000344,0.000001,0.000346,0.000000,0.000284,0.000284,0.000062,0,0.000005,0.000001,1.000000,1.000000,1.000000,8.480812,8.484797,0.003038,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.3,6.0,1,final,21,2021,0,0.000009,0.000000,0.000009,0.00e+00,-0.000000,0.000024,0.000003,0.000026,0.000000,0.000284,0.000284,-0.000258,0,0.000009,0.000003,1.000000,1.000000,1.000000,8.481138,8.485557,0.003147,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.1,6.0,1,best,15,2015,0,0.000010,0.000000,0.000010,0.00e+00,-0.000000,0.000104,0.000001,0.000105,0.000000,0.000284,0.000284,-0.000179,0,0.000010,0.000001,1.000000,1.000000,1.000000,8.480896,8.485205,0.004352,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.1,6.0,1,final,15,2015,0,0.001644,0.000000,0.001644,0.00e+00,-0.000000,0.000381,0.000164,0.000546,0.000000,0.000284,0.000284,0.000262,0,0.001644,0.000164,1.000000,1.000000,1.000000,8.483216,8.520740,0.037606,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.03,6.0,1,best,19,2019,0,0.000009,0.000000,0.000009,0.00e+00,-0.000000,0.000056,0.000000,0.000056,0.000000,0.000284,0.000284,-0.000228,0,0.000009,0.000000,1.000000,1.000000,1.000000,8.481969,8.485393,0.004164,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.03,6.0,1,final,19,2019,0,0.004953,0.000000,0.004953,0.00e+00,-0.000000,0.000196,0.000149,0.000344,0.000000,0.000284,0.000284,0.000060,0,0.004953,0.000149,1.000000,1.000000,1.000000,8.484621,8.536219,0.048180,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.01,6.0,1,best,15,2015,0,0.000016,0.000000,0.000016,0.00e+00,-0.000000,0.000246,0.000000,0.000246,0.000000,0.000284,0.000284,-0.000038,0,0.000016,0.000000,1.000000,1.000000,1.000000,8.482670,8.485955,0.005453,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.01,6.0,1,final,15,2015,0,0.019510,0.000000,0.019510,0.00e+00,-0.000000,0.000356,0.000195,0.000552,0.000000,0.000284,0.000284,0.000268,0,0.019510,0.000195,1.000000,1.000000,1.000000,8.480791,8.634177,0.135367,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.003,6.0,1,best,49,2049,0,0.000088,0.000000,0.000088,0.00e+00,-0.000000,0.000203,0.000000,0.000203,0.000000,0.000284,0.000284,-0.000081,0,0.000088,0.000000,1.000000,1.000000,1.000000,8.479007,8.490905,0.009019,1.000000,0.000000,0.000000,
population,fixed,fixed,0,0.003,6.0,1,final,49,2049,0,0.038568,0.000000,0.038568,0.00e+00,-0.000000,0.000060,0.000116,0.000176,0.000000,0.000284,0.000284,-0.000108,0,0.038568,0.000116,1.000000,1.000000,1.000000,8.508683,8.722935,0.204650,1.000000,0.000000,0.000000,
