mode,frame_type,posterior_var_mode,noise_rate,beta,metric,mean,std,n,n_opt_fail
population,fixed,fixed,0.1,3,trained_risk_mc,3.155140,0.003247,5,0
population,fixed,fixed,0.1,10,L_hat_minus_L_comp,-0.006429,0.004167,5,0
population,fixed,fixed,0.1,10,beta_excess_d,0.018476,0.000401,5,0
population,fixed,fixed,0.1,10,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,10,d_hat,3.401848,0.000040,5,0
population,fixed,fixed,0.1,10,excess_d,0.001848,0.000040,5,0
population,fixed,fixed,0.1,10,kl_total,3.401848,0.000040,5,0
population,fixed,fixed,0.1,10,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,10,trained_objective_mc,37.180788,0.004167,5,0
population,fixed,fixed,0.1,10,trained_risk,3.161941,0.000552,5,0
population,fixed,fixed,0.1,10,trained_risk_mc,3.162312,0.004409,5,0
population,fixed,fixed,0.2,0.001,L_hat_minus_L_comp,-0.237856,0.008370,5,0
population,fixed,fixed,0.2,0.001,beta_excess_d,0.000022,0.000000,5,0
population,fixed,fixed,0.2,0.001,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,0.001,d_hat,6.421987,0.000393,5,0
population,fixed,fixed,0.2,0.001,excess_d,0.021987,0.000393,5,0
population,fixed,fixed,0.2,0.001,kl_total,6.421987,0.000393,5,0
population,fixed,fixed,0.2,0.001,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,0.001,trained_objective_mc,5.366199,0.008370,5,0
population,fixed,fixed,0.2,0.001,trained_risk,5.339471,0.002189,5,0
population,fixed,fixed,0.2,0.001,trained_risk_mc,5.359777,0.008370,5,0
population,fixed,fixed,0.2,0.003,L_hat_minus_L_comp,-0.228815,0.007880,5,0
population,fixed,fixed,0.2,0.003,beta_excess_d,0.000059,0.000001,5,0
population,fixed,fixed,0.2,0.003,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,0.003,d_hat,6.419460,0.000399,5,0
population,fixed,fixed,0.2,0.003,excess_d,0.019460,0.000399,5,0
population,fixed,fixed,0.2,0.003,kl_total,6.419460,0.000399,5,0
population,fixed,fixed,0.2,0.003,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,0.003,trained_objective_mc,5.388040,0.007880,5,0
population,fixed,fixed,0.2,0.003,trained_risk,5.354707,0.002269,5,0
population,fixed,fixed,0.2,0.003,trained_risk_mc,5.368782,0.007881,5,0
population,fixed,fixed,0.2,0.01,L_hat_minus_L_comp,-0.210072,0.008359,5,0
population,fixed,fixed,0.2,0.01,beta_excess_d,0.000172,0.000005,5,0
population,fixed,fixed,0.2,0.01,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,0.01,d_hat,6.417194,0.000501,5,0
population,fixed,fixed,0.2,0.01,excess_d,0.017194,0.000501,5,0
population,fixed,fixed,0.2,0.01,kl_total,6.417194,0.000501,5,0
population,fixed,fixed,0.2,0.01,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,0.01,trained_objective_mc,5.451583,0.008358,5,0
population,fixed,fixed,0.2,0.01,trained_risk,5.369338,0.003417,5,0
population,fixed,fixed,0.2,0.01,trained_risk_mc,5.387412,0.008363,5,0
population,fixed,fixed,0.2,0.03,L_hat_minus_L_comp,-0.189998,0.007409,5,0
population,fixed,fixed,0.2,0.03,beta_excess_d,0.000452,0.000017,5,0
population,fixed,fixed,0.2,0.03,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,0.03,d_hat,6.415075,0.000561,5,0
population,fixed,fixed,0.2,0.03,excess_d,0.015075,0.000561,5,0
population,fixed,fixed,0.2,0.03,kl_total,6.415075,0.000561,5,0
population,fixed,fixed,0.2,0.03,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,0.03,trained_objective_mc,5.599658,0.007409,5,0
population,fixed,fixed,0.2,0.03,trained_risk,5.384003,0.004169,5,0
population,fixed,fixed,0.2,0.03,trained_risk_mc,5.407205,0.007422,5,0
population,fixed,fixed,0.2,0.1,L_hat_minus_L_comp,-0.183603,0.009822,5,0
population,fixed,fixed,0.2,0.1,beta_excess_d,0.001302,0.000050,5,0
population,fixed,fixed,0.2,0.1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,0.1,d_hat,6.413022,0.000499,5,0
population,fixed,fixed,0.2,0.1,excess_d,0.013022,0.000499,5,0
population,fixed,fixed,0.2,0.1,kl_total,6.413022,0.000499,5,0
population,fixed,fixed,0.2,0.1,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,0.1,trained_objective_mc,6.054053,0.009823,5,0
population,fixed,fixed,0.2,0.1,trained_risk,5.399238,0.004424,5,0
population,fixed,fixed,0.2,0.1,trained_risk_mc,5.412750,0.009820,5,0
population,fixed,fixed,0.2,0.3,L_hat_minus_L_comp,-0.159328,0.011997,5,0
population,fixed,fixed,0.2,0.3,beta_excess_d,0.003362,0.000138,5,0
population,fixed,fixed,0.2,0.3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,0.3,d_hat,6.411204,0.000461,5,0
population,fixed,fixed,0.2,0.3,excess_d,0.011204,0.000461,5,0
population,fixed,fixed,0.2,0.3,kl_total,6.411204,0.000461,5,0
population,fixed,fixed,0.2,0.3,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,0.3,trained_objective_mc,7.358327,0.011997,5,0
population,fixed,fixed,0.2,0.3,trained_risk,5.413796,0.004968,5,0
population,fixed,fixed,0.2,0.3,trained_risk_mc,5.434966,0.011995,5,0
population,fixed,fixed,0.2,1,L_hat_minus_L_comp,-0.144919,0.015097,5,0
population,fixed,fixed,0.2,1,beta_excess_d,0.009500,0.000381,5,0
population,fixed,fixed,0.2,1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,1,d_hat,6.409500,0.000381,5,0
population,fixed,fixed,0.2,1,excess_d,0.009500,0.000381,5,0
population,fixed,fixed,0.2,1,kl_total,6.409500,0.000381,5,0
population,fixed,fixed,0.2,1,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,1,trained_objective_mc,11.852736,0.015097,5,0
population,fixed,fixed,0.2,1,trained_risk,5.428561,0.004704,5,0
population,fixed,fixed,0.2,1,trained_risk_mc,5.443236,0.015347,5,0
population,fixed,fixed,0.2,3,L_hat_minus_L_comp,-0.108613,0.009283,5,0
population,fixed,fixed,0.2,3,beta_excess_d,0.023963,0.000919,5,0
population,fixed,fixed,0.2,3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,3,d_hat,6.407988,0.000307,5,0
population,fixed,fixed,0.2,3,excess_d,0.007988,0.000307,5,0
population,fixed,fixed,0.2,3,kl_total,6.407988,0.000307,5,0
population,fixed,fixed,0.2,3,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,3,trained_objective_mc,24.689042,0.009282,5,0
population,fixed,fixed,0.2,3,trained_risk,5.443328,0.004754,5,0
population,fixed,fixed,0.2,3,trained_risk_mc,5.465080,0.009439,5,0
population,fixed,fixed,0.2,10,L_hat_minus_L_comp,-0.057561,0.008336,5,0
population,fixed,fixed,0.2,10,beta_excess_d,0.066330,0.002348,5,0
population,fixed,fixed,0.2,10,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.2,10,d_hat,6.406633,0.000235,5,0
population,fixed,fixed,0.2,10,excess_d,0.006633,0.000235,5,0
population,fixed,fixed,0.2,10,kl_total,6.406633,0.000235,5,0
population,fixed,fixed,0.2,10,noisy_label_acc,0.800000,0.000000,5,0
population,fixed,fixed,0.2,10,trained_objective_mc,69.540094,0.008336,5,0
population,fixed,fixed,0.2,10,trained_risk,5.458675,0.004858,5,0
population,fixed,fixed,0.2,10,trained_risk_mc,5.473764,0.009989,5,0
population,fixed,fixed,0.4,0.001,L_hat_minus_L_comp,-0.470910,0.016891,5,0
population,fixed,fixed,0.4,0.001,beta_excess_d,0.000031,0.000002,5,0
population,fixed,fixed,0.4,0.001,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,0.001,d_hat,11.230647,0.002074,5,0
population,fixed,fixed,0.4,0.001,excess_d,0.030647,0.002074,5,0
population,fixed,fixed,0.4,0.001,kl_total,11.230647,0.002074,5,0
population,fixed,fixed,0.4,0.001,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,0.001,trained_objective_mc,7.731550,0.016891,5,0
population,fixed,fixed,0.4,0.001,trained_risk,7.386478,0.021394,5,0
population,fixed,fixed,0.4,0.001,trained_risk_mc,7.720319,0.016891,5,0
population,fixed,fixed,0.4,0.003,L_hat_minus_L_comp,-0.460183,0.019503,5,0
population,fixed,fixed,0.4,0.003,beta_excess_d,0.000086,0.000005,5,0
population,fixed,fixed,0.4,0.003,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,0.003,d_hat,11.228539,0.001548,5,0
population,fixed,fixed,0.4,0.003,excess_d,0.028539,0.001548,5,0
population,fixed,fixed,0.4,0.003,kl_total,11.228539,0.001548,5,0
population,fixed,fixed,0.4,0.003,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,0.003,trained_objective_mc,7.764677,0.019503,5,0
population,fixed,fixed,0.4,0.003,trained_risk,7.407353,0.016374,5,0
population,fixed,fixed,0.4,0.003,trained_risk_mc,7.730992,0.019504,5,0
population,fixed,fixed,0.4,0.01,L_hat_minus_L_comp,-0.421816,0.016102,5,0
population,fixed,fixed,0.4,0.01,beta_excess_d,0.000263,0.000016,5,0
population,fixed,fixed,0.4,0.01,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,0.01,d_hat,11.226324,0.001600,5,0
population,fixed,fixed,0.4,0.01,excess_d,0.026324,0.001600,5,0
population,fixed,fixed,0.4,0.01,kl_total,11.226324,0.001600,5,0
population,fixed,fixed,0.4,0.01,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,0.01,trained_objective_mc,7.881444,0.016102,5,0
population,fixed,fixed,0.4,0.01,trained_risk,7.430603,0.018333,5,0
population,fixed,fixed,0.4,0.01,trained_risk_mc,7.769180,0.016103,5,0
population,fixed,fixed,0.4,0.03,L_hat_minus_L_comp,-0.408180,0.015551,5,0
population,fixed,fixed,0.4,0.03,beta_excess_d,0.000734,0.000043,5,0
population,fixed,fixed,0.4,0.03,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,0.03,d_hat,11.224459,0.001426,5,0
population,fixed,fixed,0.4,0.03,excess_d,0.024459,0.001426,5,0
population,fixed,fixed,0.4,0.03,kl_total,11.224459,0.001426,5,0
population,fixed,fixed,0.4,0.03,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,0.03,trained_objective_mc,8.119079,0.015551,5,0
population,fixed,fixed,0.4,0.03,trained_risk,7.450353,0.017213,5,0
population,fixed,fixed,0.4,0.03,trained_risk_mc,7.782345,0.015577,5,0
population,fixed,fixed,0.4,0.1,L_hat_minus_L_comp,-0.395363,0.023027,5,0
population,fixed,fixed,0.4,0.1,beta_excess_d,0.002271,0.000114,5,0
population,fixed,fixed,0.4,0.1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,0.1,d_hat,11.222712,0.001136,5,0
population,fixed,fixed,0.4,0.1,excess_d,0.022712,0.001136,5,0
population,fixed,fixed,0.4,0.1,kl_total,11.222712,0.001136,5,0
population,fixed,fixed,0.4,0.1,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,0.1,trained_objective_mc,8.915896,0.023027,5,0
population,fixed,fixed,0.4,0.1,trained_risk,7.471519,0.014986,5,0
population,fixed,fixed,0.4,0.1,trained_risk_mc,7.793625,0.023118,5,0
population,fixed,fixed,0.4,0.3,L_hat_minus_L_comp,-0.382138,0.026586,5,0
population,fixed,fixed,0.4,0.3,beta_excess_d,0.006371,0.000210,5,0
population,fixed,fixed,0.4,0.3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,0.3,d_hat,11.221237,0.000702,5,0
population,fixed,fixed,0.4,0.3,excess_d,0.021237,0.000702,5,0
population,fixed,fixed,0.4,0.3,kl_total,11.221237,0.000702,5,0
population,fixed,fixed,0.4,0.3,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,0.3,trained_objective_mc,11.169122,0.026587,5,0
population,fixed,fixed,0.4,0.3,trained_risk,7.488689,0.011114,5,0
population,fixed,fixed,0.4,0.3,trained_risk_mc,7.802751,0.026669,5,0
population,fixed,fixed,0.4,1,L_hat_minus_L_comp,-0.352193,0.018939,5,0
population,fixed,fixed,0.4,1,beta_excess_d,0.019673,0.000557,5,0
population,fixed,fixed,0.4,1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,1,d_hat,11.219673,0.000557,5,0
population,fixed,fixed,0.4,1,excess_d,0.019673,0.000557,5,0
population,fixed,fixed,0.4,1,kl_total,11.219673,0.000557,5,0
population,fixed,fixed,0.4,1,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,1,trained_objective_mc,19.039066,0.018940,5,0
population,fixed,fixed,0.4,1,trained_risk,7.507156,0.009105,5,0
population,fixed,fixed,0.4,1,trained_risk_mc,7.819393,0.019173,5,0
population,fixed,fixed,0.4,3,L_hat_minus_L_comp,-0.284706,0.014093,5,0
population,fixed,fixed,0.4,3,beta_excess_d,0.053989,0.001134,5,0
population,fixed,fixed,0.4,3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,3,d_hat,11.217996,0.000378,5,0
population,fixed,fixed,0.4,3,excess_d,0.017996,0.000378,5,0
population,fixed,fixed,0.4,3,kl_total,11.217996,0.000378,5,0
population,fixed,fixed,0.4,3,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,3,trained_objective_mc,41.506554,0.014092,5,0
population,fixed,fixed,0.4,3,trained_risk,7.529355,0.007765,5,0
population,fixed,fixed,0.4,3,trained_risk_mc,7.852565,0.013635,5,0
population,fixed,fixed,0.4,10,L_hat_minus_L_comp,-0.177344,0.018907,5,0
population,fixed,fixed,0.4,10,beta_excess_d,0.163952,0.002820,5,0
population,fixed,fixed,0.4,10,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.4,10,d_hat,11.216395,0.000282,5,0
population,fixed,fixed,0.4,10,excess_d,0.016395,0.000282,5,0
population,fixed,fixed,0.4,10,kl_total,11.216395,0.000282,5,0
population,fixed,fixed,0.4,10,noisy_label_acc,0.600000,0.000000,5,0
population,fixed,fixed,0.4,10,trained_objective_mc,120.013916,0.018908,5,0
population,fixed,fixed,0.4,10,trained_risk,7.553273,0.007454,5,0
population,fixed,fixed,0.4,10,trained_risk_mc,7.849964,0.019383,5,0
